timestamp,longitude_m,latitude_m
167720,-5.381664,-5.323195
167920,-5.326160,-5.325040
168121,-5.469545,-5.267850
168321,-5.360079,-5.332419
168521,-5.370871,-5.299212
168721,-6.431611,-6.027918
168921,-6.201887,-5.795470
169122,-6.280517,-5.845280
169322,-6.265100,-5.950435
169522,-6.305186,-5.830522
169722,-6.377649,-5.930142
169922,-6.291310,-6.009470
170123,-6.393067,-5.872953
170323,-6.402318,-5.967039
170523,-6.423902,-5.941211
170723,-6.460905,-5.876642
170923,-6.474781,-5.773332
171124,-7.369010,-4.642454
171324,-7.327382,-4.668282
171524,-7.213290,-4.531765
171724,-7.322756,-4.295627
171924,-7.295004,-4.046576
172125,-7.291921,-3.614887
172325,-7.375177,-3.304956
172525,-7.308880,-2.904629
172725,-7.342799,-2.341957
172925,-7.350508,-1.895509
173126,-7.393678,-1.316234
173326,-7.413721,-0.751718
173526,-7.396762,-0.111563
173726,-7.493893,0.569177
173926,-7.510853,1.192728
174127,-7.478476,1.930658
174327,-7.574065,2.716554
174527,-7.472308,3.371467
174727,-7.449182,4.212707
174927,-7.419888,4.917430
175129,-7.399845,5.688567
175329,-7.356675,6.520583
175529,-7.321215,7.275117
175729,-7.335091,8.016737
175929,-7.369010,8.730684
176130,-7.313506,9.444631
176330,-7.470767,10.044200
176530,-7.455349,10.551527
176730,-7.515478,11.136336
176930,-7.649612,11.610456
177131,-7.663488,12.005249
177331,-7.834625,12.540248
177531,-8.112144,12.896300
177731,-8.369621,13.259730
177931,-8.755064,13.672971
178132,-9.129715,13.944160
178332,-9.516700,14.204281
178532,-10.494185,13.770747
178732,-10.912005,13.977367
178932,-11.440833,14.067764
179133,-11.937285,14.029022
179333,-12.347396,14.121263
179533,-12.848473,14.041936
179733,-13.539187,13.113989
179933,-13.901504,13.230213
180134,-14.357869,12.829886
180334,-14.734062,12.713662
180534,-15.068627,12.595593
180734,-15.392399,12.189731
180934,-15.757799,11.852128
181135,-16.053820,11.361405
181335,-16.243458,11.191681
181535,-16.514810,10.870681
181735,-16.752243,10.308010
181935,-16.816998,10.160424
182136,-17.026679,9.547942
182336,-17.194732,9.070132
182536,-17.296489,8.867201
182736,-17.493836,8.295305
182936,-17.678849,7.830409
183137,-17.860778,7.383962
183337,-18.075085,6.882169
183537,-18.343354,6.409894
183737,-18.708754,5.834308
183937,-18.903017,5.588947
184138,-18.482113,6.618359
184338,-18.862931,5.902567
184538,-19.290003,5.393395
184738,-19.706281,4.740327
184938,-20.114851,4.266207
185139,-19.399468,3.592846
185339,-19.656945,2.969295
185539,-20.137978,2.495175
185739,-20.654472,1.965710
185939,-21.012164,1.458383
186140,-21.550242,0.945521
186340,-22.032818,0.275850
186540,-21.699795,-0.043305
186740,-22.247124,-0.648408
186940,-22.567813,-1.277493
